dataset_name,model_name,num_features,roc_auc_mean,roc_auc_std,f1_mean,accuracy_mean,precision_mean,recall_mean
top_30_low_corr,GradientBoosting,30,0.9720156106519744,0.019266131433765134,0.9070783449785447,0.9057342657342657,0.8950921756262314,0.9210227272727274
low_corr_features,ExtraTrees,77,0.9719811753902663,0.019619115757126302,0.8952145113690329,0.8904428904428905,0.8622541085041086,0.9329545454545455
shap_top_25,LightGBM,25,0.9717860422405877,0.01683070165673322,0.9136442479089538,0.9117482517482518,0.8978106689325855,0.9331439393939395
top_30_low_corr,HistGradientBoosting,30,0.9715909090909092,0.015282343454461196,0.9061033979053537,0.9026107226107227,0.8897474747474747,0.9267045454545455
shap_top_25,ExtraTrees,25,0.9712350780532599,0.016086563132822182,0.9169049553732653,0.9147785547785547,0.9049872665534805,0.9329545454545455
top_25_aggregate,XGBoost,25,0.9710399449035811,0.016258468611480382,0.9196350903638105,0.917902097902098,0.9028276182881445,0.9392045454545455
low_corr_features,CatBoost,77,0.970529155188246,0.021105847306968507,0.9169099557159258,0.9148717948717948,0.8961458784988198,0.9392045454545455
low_corr_features,LightGBM,77,0.9692148760330579,0.019290632379423706,0.9190290014346203,0.917902097902098,0.905485103132162,0.9331439393939395
top_25_aggregate,CatBoost,25,0.9686122589531682,0.016191108684347682,0.9116439130623346,0.9088111888111887,0.8936675579322639,0.9329545454545455
top_20_aggregate,CatBoost,20,0.9682277318640955,0.016322937601662826,0.9197597895742117,0.9178554778554778,0.9028333701901813,0.9390151515151516
top_40_aggregate,GradientBoosting,40,0.9681646005509641,0.02246869381510895,0.9040367965367967,0.9027505827505827,0.894461506961507,0.9147727272727273
top_40_aggregate,RandomForest,40,0.9681359044995409,0.024207289597904545,0.9041870339444966,0.9027039627039628,0.8905242764825306,0.9208333333333334
top_30_low_corr,RandomForest,30,0.9680957300275482,0.01945541834972176,0.9103284174366264,0.9087645687645687,0.8924431841343606,0.9327651515151516
top_50_aggregate,RandomForest,50,0.9677513774104683,0.022267369677160375,0.9019954984628897,0.8996270396270395,0.8809283168865711,0.9268939393939395
top_50_aggregate,GradientBoosting,50,0.9677284205693297,0.020347354892361655,0.9055085355820651,0.9058275058275058,0.9028515570451056,0.9089015151515152
shap_top_25,GradientBoosting,25,0.9676939853076216,0.020911373235943054,0.9008725508725508,0.8996270396270397,0.8921188735132134,0.9149621212121211
family_ablation_selected,GradientBoosting,40,0.967447199265381,0.02390165491740028,0.8983614996114998,0.8967832167832167,0.8907436649372134,0.9089015151515152
top_25_aggregate,HistGradientBoosting,25,0.9673496326905419,0.017118520221509385,0.8974739742804655,0.8935664335664336,0.8775396151669497,0.9208333333333334
top_20_aggregate,LightGBM,20,0.9664313590449953,0.01886649087569537,0.8985567210567211,0.8966433566433567,0.8909819347319348,0.9087121212121213
top_20_aggregate,ExtraTrees,20,0.9662706611570249,0.021000597808955915,0.9210296546052549,0.9179953379953381,0.8940787970199734,0.9513257575757577
low_corr_features,GradientBoosting,77,0.965771349862259,0.025326520481408883,0.9064429804903904,0.9057342657342657,0.8988340336134453,0.9149621212121213
top_30_aggregate,ExtraTrees,30,0.9657254361799816,0.02196214084254289,0.9090030742204656,0.9057808857808858,0.8823140911376205,0.9392045454545455
top_30_aggregate,GradientBoosting,30,0.965702479338843,0.019152995885375505,0.8958863636363636,0.8936596736596737,0.8824727691663176,0.9147727272727273
family_ablation_selected,RandomForest,40,0.9655647382920112,0.026410246883810558,0.9052420046203548,0.9027505827505827,0.8878551645487128,0.9268939393939395
top_25_aggregate,LightGBM,25,0.9654901285583104,0.017191647060091495,0.9146885832820291,0.9117948717948717,0.8937185771744595,0.9390151515151516
top_20_aggregate,HistGradientBoosting,20,0.965168732782369,0.022160252544749515,0.9086016544902211,0.9056876456876457,0.8866569833675098,0.9329545454545455
top_25_aggregate,ExtraTrees,25,0.9646005509641873,0.0211478069811832,0.9098172490276888,0.9057808857808858,0.8787462863933453,0.9450757575757576
all_features,GradientBoosting,101,0.9642504591368228,0.024694804834705247,0.9083449883449883,0.9088111888111887,0.9082999108734402,0.9089015151515152
