,repo_name,num_contributors,total_contributions,top1_contribution_share,top5_contribution_share,contribution_gini,median_contributions,num_deployments,has_deployments,num_unique_refs,tag_based_deployment_ratio,deployment_recency_days,num_events,num_unique_event_types,dominant_event_type,dominant_event_ratio,event_type_entropy,has_IssuesEvent,has_PullRequestEvent,has_IssueCommentEvent,recent_event_density,IssuesEvent_ratio,IssueCommentEvent_ratio,PullRequestEvent_ratio,PushEvent_ratio,WatchEvent_ratio,ForkEvent_ratio,stargazers_count,subscribers_count,subscribers_to_stars_ratio,primary_language_ratio,top2_ratio,top3_ratio,language_entropy,minor_lang_ratio,infra_ratio,markup_ratio,is_monolingual,compiled_ratio,num_tags,stable_tag_ratio,prerelease_tag_ratio,latest_tag_is_stable,latest_tag_is_prerelease,semver_tag_ratio,num_major_versions,num_minor_versions,repo_age_days,last_update_recency_days,last_push_recency_days,update_push_gap_days,repo_size,forks_count,open_issues_count,network_count,has_issues,has_projects,has_downloads,has_wiki,has_pages,has_discussions,archived,disabled,allow_forking,has_pull_requests,forks_to_stars_ratio,open_issues_to_stars_ratio,stars_per_repo_age_day,forks_per_repo_age_day,top1_contribution_ratio,top3_contribution_ratio,contribution_entropy,contributors_to_stars_ratio,tag_release_velocity,interaction_ratio,development_ratio,external_interest_event_ratio,stars_per_size,forks_per_size,issues_per_size,error,label
321,tastejs/todomvc-app-template,7.0,27.0,0.7407407407407407,0.925925925925926,0.6243386243386244,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,WatchEvent,1.0,-0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,478.0,22.0,0.0460251046025104,0.938382099827883,0.9697074010327024,1.0,0.2740978383812699,0.061617900172117,0.0,0.9686746987951808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4493.307422815787,3.3693325380092594,938.3284529083796,934.9591203703704,50.0,400.0,3.0,400.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.8368200836820083,0.006276150627615,0.1063804353919616,0.0890212848468297,0.7407407407407407,0.8518518518518519,1.0254316870339697,0.0146443514644351,0.0,0.0,0.0,1.0,9.56,8.0,0.06,,0
322,30-seconds/30-seconds-of-code,30.0,9157.0,0.7967675002730151,0.9328382658075788,0.8973790542754176,16.0,30.0,1.0,30.0,0.0,2461.714464710752,30.0,2.0,WatchEvent,0.9333333333333332,0.2449300267946353,0.0,0.0,0.0,23.03754266211604,0.0,0.0,0.0,0.0,0.9333333333333332,0.0666666666666666,127823.0,2585.0,0.0202232775009192,0.6538751216553936,0.9144304082241492,0.9955763898058894,0.8603287551387849,0.3461248783446063,0.0014158487022609,0.0023695291752864,0.0,0.0,14.0,1.0,0.0,1.0,0.0,1.0,8.0,11.0,3089.4587819688427,0.0071615984722222,2.4898004873611113,2.482638888888889,742614.0,12487.0,1.0,12487.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.097689774140804,7.823318182173788e-06,41.37391336708992,4.041808252152209,0.7967675002730151,0.8717920716391832,1.006070826243609,0.0002346995454652,0.0045315380419741,0.0,0.0,1.0,0.1721257611625959,0.0168149267317879,1.3465945969238394e-06,,0
323,keras-team/keras,30.0,8052.0,0.4858420268256334,0.6861649279682066,0.660556383507203,109.5,0.0,0.0,0.0,0.0,0.0,30.0,6.0,PullRequestEvent,0.4333333333333333,1.544247331825756,1.0,1.0,1.0,2.0971077389100867,0.2,0.1333333333333333,0.4333333333333333,0.1,0.0666666666666666,0.0,64069.0,1855.0,0.0289531598745102,0.999927645775074,1.0,1.0,0.0007621722085094,7.235422492605718e-05,7.235422492605718e-05,0.0,1.0,0.0,30.0,1.0,0.0,1.0,0.0,1.0,1.0,14.0,4067.165729868149,0.0769335718518518,0.1103247755555555,0.0333912037037037,53032.0,19776.0,186.0,19776.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.3086672181554262,0.0029031200736705,15.752738947430531,4.862354109232019,0.4858420268256334,0.6092896174863388,2.2702662723381506,0.0004682451731726,0.0073761439763835,0.3333333333333333,0.5333333333333333,0.0666666666666666,1.2081196258862574,0.3729069241212853,0.0035073163373057,,0
324,facebookarchive/nuclide,30.0,10107.0,0.1535569407341446,0.5351736420302761,0.5340226245836217,167.5,30.0,1.0,30.0,0.0,2711.4724095973147,1.0,1.0,ForkEvent,1.0,-0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,7725.0,0.0,0.0,0.5878804711271157,0.954283527899919,0.9803921070383772,0.8822197531520523,0.4121195288728843,0.0010188310961886,0.008777841649711,0.0,0.0335558672709181,30.0,0.9666666666666668,0.0,1.0,0.0,0.9666666666666668,1.0,29.0,4092.997317135046,2.161217598009259,2711.4729652831943,2709.3117476851853,189779.0,678.0,394.0,678.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0877669902912621,0.0510032362459546,1.8873699153137264,0.16564877703336,0.1535569407341446,0.3813198773127535,2.9121934682473833,0.003883495145631,0.0073295919041309,0.0,0.0,1.0,0.0407052413596867,0.0035725765232191,0.0020760990415167,,0
325,CyC2018/CS-Notes,30.0,3497.0,0.946239633971976,0.9588218472976836,0.923868077399676,5.5,30.0,1.0,29.0,0.0,1031.064717193021,30.0,1.0,WatchEvent,1.0,-0.0,0.0,0.0,0.0,26.670782528167926,0.0,0.0,0.0,0.0,1.0,0.0,184367.0,5224.0,0.0283347887637158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3013.569011235405,0.0296130872569444,632.7886177168866,632.7590046296297,116179.0,51010.0,196.0,51010.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.2766764117222713,0.0010630969750551,61.17895402638946,16.92677347294324,0.946239633971976,0.952816700028596,0.3866453065466638,0.0001627189247533,0.0,0.0,0.0,1.0,1.5869219049914356,0.4390638583565016,0.0016870518768452,,0
326,kdn251/interviews,28.0,374.0,0.5721925133689839,0.9358288770053476,0.8634453781512603,1.0,0.0,0.0,0.0,0.0,0.0,29.0,3.0,WatchEvent,0.896551724137931,0.3984405075837697,0.0,0.0,1.0,2.9516748068617957,0.0,0.0689655172413793,0.0,0.0,0.896551724137931,0.0344827586206896,64935.0,2571.0,0.0395934395934395,1.0,1.0,1.0,-0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3377.4298845922567,0.3803475552199074,368.65443320336806,368.2740856481482,24462.0,12898.0,119.0,12898.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.1986293986293986,0.0018326018326018,19.22615782319272,3.8188801663746776,0.5721925133689839,0.9224598930481284,1.2030697600312914,0.0004312004312004,0.0,0.0689655172413793,0.0,0.9310344827586208,2.6545253863134657,0.5272667811299158,0.0048646880876461,,0
327,gatsbyjs/gatsby,30.0,12274.0,0.2607951767964803,0.6134104611373635,0.5736081690293846,173.5,0.0,0.0,0.0,0.0,0.0,30.0,6.0,PushEvent,0.7,1.0503092175221374,0.0,1.0,0.0,24.390014396883497,0.0,0.0,0.1,0.7,0.1,0.0,55951.0,695.0,0.0124215831709889,0.5895600246467628,0.9761487845729292,0.9866576252282327,0.7998416339462425,0.4104399753532371,0.0016028609958761,0.0174161281338624,0.0,0.0,30.0,0.3333333333333333,0.6333333333333333,0.0,0.0,0.9666666666666668,2.0,11.0,4012.243752219525,0.0043656454513888,0.3205462010069444,0.3161805555555556,1147899.0,10198.0,373.0,10198.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.1822666261550285,0.0066665475147897,13.945065019440683,2.5417199526059604,0.2607951767964803,0.4997555809027212,2.735370810508851,0.0005361834462297,0.0074771130200214,0.0,0.8,0.1,0.0487420931632486,0.0088840568725994,0.0003249414800431,,0
328,hapijs/inert,21.0,244.0,0.6147540983606558,0.889344262295082,0.8005464480874316,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,236.0,21.0,0.0889830508474576,0.9826306964044575,0.9989612548041964,1.0,0.0915491167125578,0.0173693035955423,0.0,0.0010387451958034,1.0,0.0,30.0,0.8,0.2,1.0,0.0,1.0,4.0,9.0,4236.335029746967,261.6559440988194,569.5874255803009,307.93148148148146,4063.0,49.0,9.0,49.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.2076271186440678,0.0381355932203389,0.0557085306843644,0.0115666017098892,0.6147540983606558,0.8401639344262295,1.4341963336064127,0.0889830508474576,0.0070815928836056,0.0,0.0,0.0,0.0580851587496923,0.0120600541471818,0.002215111986217,,0
329,doocs/leetcode,30.0,10891.0,0.6795519236066477,0.8271967679735561,0.7980197716769197,62.5,30.0,1.0,1.0,0.0,1.0042253067824074,30.0,6.0,PullRequestEvent,0.4333333333333333,1.5555739342787824,0.0,1.0,0.0,534.6534653465346,0.0,0.0,0.4333333333333333,0.1,0.1,0.0,36011.0,336.0,0.0093304823526144,0.2094850185403423,0.4010925224903792,0.5628834182508393,2.0130752883941976,0.7905149814596577,8.372908598435238e-05,0.0,0.0,0.616569820905005,21.0,1.0,0.0,1.0,0.0,1.0,1.0,4.0,2798.607975458484,0.0308458288541666,0.0374314770023148,0.0065856481481481,780941.0,9412.0,3.0,9412.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.2613645830440698,8.330787814834356e-05,12.867468510958494,3.363100542199365,0.6795519236066477,0.7729317785327334,1.568054513494283,0.0008330787814834,0.00750373049152,0.0,0.5333333333333333,0.1,0.0461123183441514,0.0120521268572145,3.841519397752199e-06,,0
330,Polymer/lit-element,30.0,327.0,0.1773700305810397,0.6666666666666666,0.6319062181447501,3.0,0.0,0.0,0.0,0.0,0.0,16.0,4.0,PullRequestEvent,0.625,1.0735428464085233,0.0,1.0,1.0,0.192864569004052,0.0,0.125,0.625,0.0,0.0,0.0,4475.0,139.0,0.0310614525139664,0.7097737168491886,0.9843185116770022,1.0,0.663365568252967,0.2902262831508114,0.0,0.0156814883229977,0.0,0.0,27.0,0.7407407407407407,0.2592592592592592,1.0,0.0,1.0,2.0,9.0,3177.422478562465,8.473994766168982,2.5631498587615744,5.910844907407407,6721.0,314.0,57.0,314.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0701675977653631,0.0127374301675977,1.4083742498917091,0.0988222378694964,0.1773700305810397,0.4892966360856269,2.6475924823688652,0.0067039106145251,0.0084974535747656,0.125,0.625,0.0,0.6658235381639637,0.0467192382085999,0.0084808808213063,,0
331,996icu/996.ICU,30.0,1820.0,0.7868131868131868,0.8527472527472527,0.8047252747252747,10.5,30.0,1.0,30.0,0.0,2597.8004920648727,30.0,2.0,WatchEvent,0.9666666666666668,0.1461447460085638,0.0,0.0,0.0,15.176976900781684,0.0,0.0,0.0,0.0,0.9666666666666668,0.0333333333333333,276180.0,4209.0,0.0152400608298935,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2607.8790222047105,0.0708046121180555,266.9413485935995,266.8705439814815,189351.0,20874.0,16694.0,20874.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0755811427330002,0.0604460858860163,105.90215176401398,8.004205648207792,0.7868131868131868,0.8291208791208792,1.2078539891899656,0.0001086248099065,0.0,0.0,0.0,1.0,1.458561084969184,0.1102397135478555,0.0881643086120485,,0
332,cloudera/hue,30.0,18907.0,0.3801766541492569,0.8396890040725657,0.7995892173974364,68.5,30.0,1.0,29.0,0.0,1877.036536531713,30.0,7.0,PullRequestEvent,0.5666666666666667,1.4373579261846885,1.0,1.0,1.0,0.5878434785093541,0.0666666666666666,0.1,0.5666666666666667,0.0,0.1,0.0666666666666666,1402.0,34.0,0.0242510699001426,0.5677213808007543,0.8400649100679098,0.8866935600340873,1.325527142869498,0.4322786191992457,0.0045804330847053,0.0349356016092549,0.0,0.0004876643716048,30.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,5807.398411669167,0.2882033358333333,0.6385505580555555,0.3503472222222222,478653.0,409.0,31.0,409.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.2917261055634807,0.0221112696148359,0.2414161902791874,0.0704274050101195,0.3801766541492569,0.7805045750251229,1.9568717662285051,0.021398002853067,0.0051658243283706,0.1666666666666666,0.5666666666666667,0.1666666666666666,0.0029290529882816,0.0008544812212604,6.476508034003757e-05,,0
333,torch/cunn,30.0,747.0,0.4953145917001338,0.7657295850066934,0.7562248995983936,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,213.0,32.0,0.1502347417840375,0.6285809106110835,0.9187465162671986,0.9731679232552,0.9274034807991032,0.3714190893889165,0.0006554918297298,0.0,0.0,0.0690915891688913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4592.701821013368,16.968348791145832,2454.1918673096643,2437.223518518518,1501.0,173.0,57.0,173.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.812206572769953,0.2676056338028169,0.0463779292223882,0.0376684589458833,0.4953145917001338,0.6921017402945113,2.0489163176423033,0.1408450704225352,0.0,0.0,0.0,0.0,0.1419053964023984,0.1152564956695536,0.0379746835443038,,0
334,paperswithcode/paperswithcode-data,2.0,8.0,0.875,1.0,0.375,4.0,0.0,0.0,0.0,0.0,0.0,23.0,2.0,WatchEvent,0.8695652173913043,0.3872123751863606,0.0,0.0,0.0,0.8540473774530977,0.0,0.0,0.0,0.0,0.8695652173913043,0.1304347826086956,901.0,26.0,0.0288568257491675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2661.5519973567016,2.775944115960648,249.5033862455903,246.7274421296296,6.0,119.0,29.0,119.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.1320754716981132,0.0321864594894561,0.3385242899098729,0.0447107552711152,0.875,1.0,0.3767701612564367,0.002219755826859,0.0,0.0,0.0,1.0,150.16666666666666,19.833333333333332,4.833333333333333,,0
335,phonegap/phonegap,15.0,346.0,0.3121387283236994,0.8670520231213873,0.6547206165703277,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3951.0,462.0,0.1169324221716021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.5666666666666667,0.4333333333333333,1.0,0.0,1.0,2.0,14.0,6219.480901079004,35.40211635678241,4089.319315430857,4053.9171990740742,306966.0,883.0,2.0,1254.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.2234877246266768,0.0005062009617818,0.6352620198962575,0.1419732633683612,0.3121387283236994,0.684971098265896,1.9215148012858807,0.0037965072133637,0.0048235536818242,0.0,0.0,0.0,0.0128711323078125,0.0028765400728419,6.515379553435885e-06,,0
336,apache/storm,30.0,6007.0,0.2057599467288163,0.540702513733977,0.5339381832306753,99.0,0.0,0.0,0.0,0.0,0.0,30.0,10.0,PullRequestReviewCommentEvent,0.2666666666666666,1.9739048086188364,1.0,1.0,1.0,10.363937336564064,0.0333333333333333,0.1,0.2,0.0333333333333333,0.0666666666666666,0.0333333333333333,6685.0,561.0,0.0839192221391174,0.85163503304927,0.9274829812278488,0.9700148070435608,0.610667070542606,0.1483649669507299,0.0020646458195052,0.0431382031173743,0.0,0.8693770256650748,30.0,1.0,0.0,1.0,0.0,1.0,2.0,10.0,4574.857263237164,0.5575757371643518,2.2314299038310184,1.6738541666666666,157941.0,4041.0,41.0,4041.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.6044876589379207,0.0061331338818249,1.461247775655217,0.883306247034066,0.2057599467288163,0.4319960046612285,2.8677985796536247,0.0044876589379207,0.0065575816409359,0.1333333333333333,0.2333333333333333,0.1,0.0423259318353055,0.0255855034474898,0.0002595906066189,,0
