path,key,dtype,example_value,is_github_api_url,fetch_status,error_message,depth
languages_url.__api_fetch__,__api_fetch__,dict,https://api.github.com/repos/pandas-dev/pandas/languages,True,success,,0
languages_url.__api__.Python,Python,int,22152529,False,,,1
languages_url.__api__.Cython,Cython,int,1513595,False,,,1
languages_url.__api__.C,C,int,355169,False,,,1
languages_url.__api__.HTML,HTML,int,285657,False,,,1
languages_url.__api__.Meson,Meson,int,13824,False,,,1
languages_url.__api__.CSS,CSS,int,9371,False,,,1
languages_url.__api__.Go Template,Go Template,int,8725,False,,,1
languages_url.__api__.Shell,Shell,int,3327,False,,,1
languages_url.__api__.XSLT,XSLT,int,1196,False,,,1
languages_url.__api__.C++,C++,int,717,False,,,1
languages_url.__api__.Smarty,Smarty,int,127,False,,,1
branches_url,branches_url,str,https://api.github.com/repos/pandas-dev/pandas/branches{/branch},True,,,0
tags_url,tags_url,str,https://api.github.com/repos/pandas-dev/pandas/tags,True,,,0
tags_url.__api_fetch__,__api_fetch__,list,https://api.github.com/repos/pandas-dev/pandas/tags,True,success,,0
tags_url.__api__[0],[0],dict,"{'name': 'v3.1.0.dev0', 'zipball_url': 'https://api.github.com/repos/pandas-dev/pandas/zipball/refs/tags/v3.1.0.dev0', '",False,,,1
tags_url.__api__[1],[1],dict,"{'name': 'v3.0.2', 'zipball_url': 'https://api.github.com/repos/pandas-dev/pandas/zipball/refs/tags/v3.0.2', 'tarball_ur",False,,,1
tags_url.__api__[2],[2],dict,"{'name': 'v3.0.1', 'zipball_url': 'https://api.github.com/repos/pandas-dev/pandas/zipball/refs/tags/v3.0.1', 'tarball_ur",False,,,1
tags_url.__api__[3],[3],dict,"{'name': 'v3.0.0', 'zipball_url': 'https://api.github.com/repos/pandas-dev/pandas/zipball/refs/tags/v3.0.0', 'tarball_ur",False,,,1
tags_url.__api__[4],[4],dict,"{'name': 'v3.0.0rc2', 'zipball_url': 'https://api.github.com/repos/pandas-dev/pandas/zipball/refs/tags/v3.0.0rc2', 'tarb",False,,,1
tags_url.__api__[5],[5],dict,"{'name': 'v3.0.0rc1', 'zipball_url': 'https://api.github.com/repos/pandas-dev/pandas/zipball/refs/tags/v3.0.0rc1', 'tarb",False,,,1
tags_url.__api__[6],[6],dict,"{'name': 'v3.0.0rc0', 'zipball_url': 'https://api.github.com/repos/pandas-dev/pandas/zipball/refs/tags/v3.0.0rc0', 'tarb",False,,,1
tags_url.__api__[7],[7],dict,"{'name': 'v3.0.0.dev0', 'zipball_url': 'https://api.github.com/repos/pandas-dev/pandas/zipball/refs/tags/v3.0.0.dev0', '",False,,,1
tags_url.__api__[8],[8],dict,"{'name': 'v2.3.3', 'zipball_url': 'https://api.github.com/repos/pandas-dev/pandas/zipball/refs/tags/v2.3.3', 'tarball_ur",False,,,1
tags_url.__api__[9],[9],dict,"{'name': 'v2.3.2', 'zipball_url': 'https://api.github.com/repos/pandas-dev/pandas/zipball/refs/tags/v2.3.2', 'tarball_ur",False,,,1
tags_url.__api__[10],[10],dict,"{'name': 'v2.3.1', 'zipball_url': 'https://api.github.com/repos/pandas-dev/pandas/zipball/refs/tags/v2.3.1', 'tarball_ur",False,,,1
tags_url.__api__[11],[11],dict,"{'name': 'v2.3.0', 'zipball_url': 'https://api.github.com/repos/pandas-dev/pandas/zipball/refs/tags/v2.3.0', 'tarball_ur",False,,,1
tags_url.__api__[12],[12],dict,"{'name': 'v2.3.0.dev0', 'zipball_url': 'https://api.github.com/repos/pandas-dev/pandas/zipball/refs/tags/v2.3.0.dev0', '",False,,,1
tags_url.__api__[13],[13],dict,"{'name': 'v2.2.3', 'zipball_url': 'https://api.github.com/repos/pandas-dev/pandas/zipball/refs/tags/v2.2.3', 'tarball_ur",False,,,1
tags_url.__api__[14],[14],dict,"{'name': 'v2.2.2', 'zipball_url': 'https://api.github.com/repos/pandas-dev/pandas/zipball/refs/tags/v2.2.2', 'tarball_ur",False,,,1
tags_url.__api__[15],[15],dict,"{'name': 'v2.2.1', 'zipball_url': 'https://api.github.com/repos/pandas-dev/pandas/zipball/refs/tags/v2.2.1', 'tarball_ur",False,,,1
tags_url.__api__[16],[16],dict,"{'name': 'v2.2.0', 'zipball_url': 'https://api.github.com/repos/pandas-dev/pandas/zipball/refs/tags/v2.2.0', 'tarball_ur",False,,,1
tags_url.__api__[17],[17],dict,"{'name': 'v2.2.0rc0', 'zipball_url': 'https://api.github.com/repos/pandas-dev/pandas/zipball/refs/tags/v2.2.0rc0', 'tarb",False,,,1
tags_url.__api__[18],[18],dict,"{'name': 'v2.2.0dev0', 'zipball_url': 'https://api.github.com/repos/pandas-dev/pandas/zipball/refs/tags/v2.2.0dev0', 'ta",False,,,1
tags_url.__api__[19],[19],dict,"{'name': 'v2.2.0.dev0', 'zipball_url': 'https://api.github.com/repos/pandas-dev/pandas/zipball/refs/tags/v2.2.0.dev0', '",False,,,1
tags_url.__api__[20],[20],dict,"{'name': 'v2.1.4', 'zipball_url': 'https://api.github.com/repos/pandas-dev/pandas/zipball/refs/tags/v2.1.4', 'tarball_ur",False,,,1
tags_url.__api__[21],[21],dict,"{'name': 'v2.1.3', 'zipball_url': 'https://api.github.com/repos/pandas-dev/pandas/zipball/refs/tags/v2.1.3', 'tarball_ur",False,,,1
tags_url.__api__[22],[22],dict,"{'name': 'v2.1.2', 'zipball_url': 'https://api.github.com/repos/pandas-dev/pandas/zipball/refs/tags/v2.1.2', 'tarball_ur",False,,,1
tags_url.__api__[23],[23],dict,"{'name': 'v2.1.1', 'zipball_url': 'https://api.github.com/repos/pandas-dev/pandas/zipball/refs/tags/v2.1.1', 'tarball_ur",False,,,1
tags_url.__api__[24],[24],dict,"{'name': 'v2.1.0', 'zipball_url': 'https://api.github.com/repos/pandas-dev/pandas/zipball/refs/tags/v2.1.0', 'tarball_ur",False,,,1
tags_url.__api__[25],[25],dict,"{'name': 'v2.1.0rc0', 'zipball_url': 'https://api.github.com/repos/pandas-dev/pandas/zipball/refs/tags/v2.1.0rc0', 'tarb",False,,,1
tags_url.__api__[26],[26],dict,"{'name': 'v2.1.0.dev0', 'zipball_url': 'https://api.github.com/repos/pandas-dev/pandas/zipball/refs/tags/v2.1.0.dev0', '",False,,,1
tags_url.__api__[27],[27],dict,"{'name': 'v2.0.3', 'zipball_url': 'https://api.github.com/repos/pandas-dev/pandas/zipball/refs/tags/v2.0.3', 'tarball_ur",False,,,1
tags_url.__api__[28],[28],dict,"{'name': 'v2.0.2', 'zipball_url': 'https://api.github.com/repos/pandas-dev/pandas/zipball/refs/tags/v2.0.2', 'tarball_ur",False,,,1
tags_url.__api__[29],[29],dict,"{'name': 'v2.0.1', 'zipball_url': 'https://api.github.com/repos/pandas-dev/pandas/zipball/refs/tags/v2.0.1', 'tarball_ur",False,,,1
events_url,events_url,str,https://api.github.com/repos/pandas-dev/pandas/events,True,,,0
events_url.__api_fetch__,__api_fetch__,list,https://api.github.com/repos/pandas-dev/pandas/events,True,success,,0
events_url.__api__[0],[0],dict,"{'id': '8056892981', 'type': 'PullRequestEvent', 'actor': {'id': 8078968, 'login': 'jbrockmendel', 'display_login': 'jbr",False,,,1
events_url.__api__[1],[1],dict,"{'id': '8056166868', 'type': 'IssuesEvent', 'actor': {'id': 159573770, 'login': 'Julian-Harbeck', 'display_login': 'Juli",False,,,1
events_url.__api__[2],[2],dict,"{'id': '8056166865', 'type': 'IssuesEvent', 'actor': {'id': 159573770, 'login': 'Julian-Harbeck', 'display_login': 'Juli",False,,,1
events_url.__api__[3],[3],dict,"{'id': '8056166765', 'type': 'IssuesEvent', 'actor': {'id': 159573770, 'login': 'Julian-Harbeck', 'display_login': 'Juli",False,,,1
events_url.__api__[4],[4],dict,"{'id': '8056160584', 'type': 'PullRequestEvent', 'actor': {'id': 8078968, 'login': 'jbrockmendel', 'display_login': 'jbr",False,,,1
events_url.__api__[5],[5],dict,"{'id': '8056160117', 'type': 'PullRequestEvent', 'actor': {'id': 8078968, 'login': 'jbrockmendel', 'display_login': 'jbr",False,,,1
events_url.__api__[6],[6],dict,"{'id': '8055834297', 'type': 'WatchEvent', 'actor': {'id': 88624324, 'login': 'Mono-PQ', 'display_login': 'Mono-PQ', 'gr",False,,,1
events_url.__api__[7],[7],dict,"{'id': '8055671007', 'type': 'IssueCommentEvent', 'actor': {'id': 8078968, 'login': 'jbrockmendel', 'display_login': 'jb",False,,,1
events_url.__api__[8],[8],dict,"{'id': '8055670951', 'type': 'IssuesEvent', 'actor': {'id': 8078968, 'login': 'jbrockmendel', 'display_login': 'jbrockme",False,,,1
events_url.__api__[9],[9],dict,"{'id': '8055606512', 'type': 'WatchEvent', 'actor': {'id': 122492121, 'login': 'brieng314', 'display_login': 'brieng314'",False,,,1
events_url.__api__[10],[10],dict,"{'id': '8055138620', 'type': 'WatchEvent', 'actor': {'id': 271808146, 'login': 'briengrant-banv', 'display_login': 'brie",False,,,1
events_url.__api__[11],[11],dict,"{'id': '8054600815', 'type': 'PullRequestEvent', 'actor': {'id': 121413374, 'login': 'morgenyu', 'display_login': 'morge",False,,,1
events_url.__api__[12],[12],dict,"{'id': '8054575658', 'type': 'ForkEvent', 'actor': {'id': 121413374, 'login': 'morgenyu', 'display_login': 'morgenyu', '",False,,,1
